module_id,module_code,module_title,department,primary_lead_name,omission_reason,description_preview,gap_aspect_count
module_66b61d5dfef0a4b7,NURSINGPRACTICEFORPART1,Nursing Practice for Part 1,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module will introduce the nursing student to the care environment, under supervision, in which the essentials of caring skills are delivered. The practice ...",0
module_671c9c51377504e9,SC3600,SC3600 - Making the Social,Department of Social and Political Sciences,Dr Magali Peyrefitte,Narrow Domain (Below Interdisciplinary Aspect Thresholds),An introduction to core concepts in social theory. The emphasis is on concepts through which students can relate to the worlds they inhabit and the lives they l...,0
module_67711ee7374e1379,NURSINGPRACTICEMODULEFORPART2,Nursing Practice Module for Part 2,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module builds upon the knowledge and skills learnt in practice in part 1 and part 2 of the theory and skills module. It will enable the nursing student to ...,0
module_67c5cfb8d4dfed0f,SP26FF,The Application of Sport Science to Coaching: Working with Individuals,Department of Life Sciences,Dr Laura Hills,Narrow Domain (Below Interdisciplinary Aspect Thresholds),The aim of this module is to promote students’ understanding of the multidisciplinary nature of coaching and their ability to apply theory to sports coaching pr...,0
module_6b124d3d9357b604,PX200A,"The African American Struggle for Civil Rights, 1941-1992",Department of Social and Political Sciences,Dr Inge Dornan,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module aims to examine the tactics and strategies employed by African Americans during the period 1941 to 1992, thereby helping students to gain a critical...",0
module_6c222ec521cf4c89,PP2631,PP2631 - From Student to Scholar: Successful Research in the Modern World,Department of Social and Political Sciences,Professor Peter D. Thomas,Narrow Domain (Below Interdisciplinary Aspect Thresholds),Preparing students for their final year dissertation begins in the second year in From Student to Scholar: Successful Research in the Modern World. This module ...,0
module_6c431358d521e0ed,SW5636,SW5636 Contemporary and International Perspectives,Department of Health Sciences,Dr Cristina Asenjo Palma,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This module takes student through varying and different perspectives from across the globe. This is to prepare students both for working in other countries, cul...",0
module_6cbfb3d9b9a1478d,GY2608,GY2608 - Geomorphological and Earth Hazards,Department of Social and Political Sciences,Dr Anneleen Kenis,Narrow Domain (Below Interdisciplinary Aspect Thresholds),Students will develop their understanding of a range of geomorphological features and hazards at a variety of temporal and spatial scales. On completion of the ...,0
module_6d5ec59b25bcfbed,,Creative Journaling,Department of Arts and Humanities,Dr Ellie Reed,Narrow Domain (Below Interdisciplinary Aspect Thresholds),Journaling is one of the most widely practiced forms of creative expression in the world today. If we count things like blogging and social media posts as part ...,0
module_6dfb994269daaa32,ED2714,ED2714 - Educational Practices and the Early Years,Department of Education,Dr Lewis Fogarty,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"This study block aims to develop your understanding of the foundation years of education by exploring how philosophical, psychological and sociological perspect...",0
module_6e72611a1d06b118,FM2635,FM2635 - Understanding the Film and TV Industries,Department of Arts and Humanities,Dr Sean Holmes,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module is a key element in the employability strand that runs through every level of our programme. It focuses primarily upon the British context but it al...,0
module_6f74e63a3464d3d3,MU1623,MU1623 - Composing 1: Introduction,Department of Arts and Humanities,Dr Brent Ferguson,Sparse / Missing Syllabus Description,,0
module_702dd66fb4202b6e,MA2620,MA2620 - Professional Development and Project Work,Department of Mathematics,Dr Sarah Cang,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Aims to develop skills required for planning and obtaining employment, whether it is an internship, a placement or a graduate job, in a field related to the stu...",0
module_713b3b0e0923e621,,Nursing Practice Module for Year 3,Department of Health Sciences,Dr Allison Wiseman,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Students will work within their role as a team member, and develop knowledge and skills enabling them to meet the NMC learning outcomes. The practice placement ...",0
module_71ba453a493b70b1,PH5618,PH5618 - Rehabilitation after Critical Illness,Department of Health Sciences,Dr Vicky MacBean,Narrow Domain (Below Interdisciplinary Aspect Thresholds),This module will allow students to develop theoretical knowledge and critical understanding of the physiological processes underpinning chronic critical illness...,0
module_74fe4d8422c9916b,CE5643,CE5643 - Advanced Construction Materials and Building Retrofitting,Department of Civil and Environmental Engineering,Dr Rabee Shamass,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"* To give the students advanced theoretical knowledge in Finite Element Analysis, Structural Design and Design of Components. * To equip students with the abili...",0
module_75505f641dc29b9a,SA5614,"SA5614 - Applied Learning for Children, Youth and International Development","Department of Social Sciences, Media and Communications",Professor Peggy Froerer,Narrow Domain (Below Interdisciplinary Aspect Thresholds),"Examine the relevance and responsibility of your academic studies in children, youth and international development to community, voluntary action as you conside...",0
module_7561c3309447abbc,AF3LLL,AF3LLL - Housing Finance,"Department of Economics, Finance and Accounting",Miss Dilruba Karim,Saturated / Fully Covered by Primary Lead,This module aims to demonstrate a sound knowledge of the operation of housing finance at both a micro and macro levels. It will cover the behaviour of lenders i...,1
